Repository Name,Repository_ID,Provider,Consortium,Number of Records,Text,Identifiers,Connections,Contacts,Total,2025-05,Change,,,,
British Journal of Community Justice,cmuu.bjcj,cmuu,blco,41,45%,25%,11%,10%,23%,24%,0%,,,,
University of Southampton Repository,bl.soton,bl,blco,6133,56%,18%,10%,5%,23%,23%,0%,,,,
Joint Nature Conservation Committee,bl.jncc,bl,blco,1,53%,11%,17%,10%,23%,23%,0%,,,,
University of Manchester (Pure),borq.00003,borq,blco,10,51%,30%,6%,0%,23%,25%,-2%,,,,
UDORA,siyf.vjdxvd,siyf,blco,428,57%,16%,9%,7%,23%,23%,0%,,,,
Vestiges,ylyl.vestiges,ylyl,blco,42,51%,17%,11%,10%,23%,,,,,,
LSE Digital Library,lcqr.lsedl,lcqr,blco,299,47%,32%,6%,0%,23%,,,,,,
MOLA,ytfd.mola,ytfd,blco,14,51%,19%,10%,9%,23%,23%,0%,,,,
London Southbank University,bl.lsbu,bl,blco,590,51%,18%,11%,9%,23%,22%,0%,,,,
University of Lancaster,bl.lancs,bl,blco,3775,51%,14%,20%,5.30E-05,22%,23%,0%,,,,
Janeway,sqhd.yqddvd,sqhd,blco,278,56%,6%,18%,10%,22%,22%,0%,,,,
British Library Research Repository,bl.repo,bl,blco,1354,47%,25%,8%,5%,22%,22%,0%,,,,
National Museums Scotland,bl.rep-nms,bl,blco,28,52%,19%,10%,5%,22%,21%,2%,,,,
Aston Data Explorer,bl.aston,bl,blco,369,47%,16%,15%,9%,22%,22%,0%,,,,
Journals@RGU,ukev.open-journals,ukev,blco,52,50%,20%,10%,7%,22%,22%,0%,,,,
FAIRsharing.org,ylyl.fair,ylyl,blco,4781,57%,21%,6%,2.09E-05,22%,22%,0%,,,,
Royal College of Music,bl.rcm,bl,blco,132,52%,14%,10%,8%,21%,21%,0%,,,,
University of Essex,bl.essex,bl,blco,536,52%,15%,12%,4%,21%,23%,-2%,,,,
Makings,icjg.lhdokr,icjg,blco,1,53%,22%,6%,0%,21%,,,,,,
Camtree: the Cambridge Teacher Research Education,pcgi.camtree,pcgi,blco,28,49%,13%,14%,6%,21%,,,,,,
IRIS Database,skmf.rpqfco-iris,skmf,blco,1,47%,17%,11%,10%,21%,21%,0%,,,,
British Library Metadata Standards,bl.metadata,bl,blco,495,40%,11%,22%,10%,21%,21%,0%,,,,
ForestPlots.net,lxkc.dskyfi,lxkc,blco,44,50%,19%,9%,3%,21%,21%,0%,,,,
Marine Scotland,bl.marinesc,bl,blco,399,54%,10%,17%,1%,21%,21%,1%,,,,
London School of Economics,bl.lse,bl,blco,1398,55%,13%,12%,0%,21%,21%,0%,,,,
UEL Research Repository,bl.uel,bl,blco,1791,50%,14%,11%,8%,21%,21%,0%,,,,
University of Aberdeen,bl.abdn,bl,blco,510,47%,15%,13%,7%,21%,20%,1%,,,,
Manchester Metropolitan University,bl.mmu,bl,blco,199,46%,16%,11%,8%,21%,21%,0%,,,,
Emergency Nutrition Network,lrfs.enn,lrfs,blco,104,51%,22%,6%,0%,21%,22%,-1%,,,,
Dementias Platform UK,xwpv.qbqbok,xwpv,blco,59,44%,28%,6%,0%,21%,21%,0%,,,,
Queen Mary University of London,bl.qmul,bl,blco,201,46%,26%,6%,0%,21%,20%,0%,,,,
Octopus,upnf.octopus,upnf,blco,10000,40%,23%,8%,10%,21%,18%,3%,,,,
Journal of Scholarship and Innovation in Management Education,ygyi.rsoowr,ygyi,blco,14,44%,27%,6%,0%,21%,,,,,,
Liverpool John Moores University,bl.ljmu,bl,blco,3467,48%,16%,10%,6%,21%,19%,1%,,,,
Energy Data Centre,duqf.dztpij,duqf,blco,999,56%,12%,11%,0%,20%,,,,,,
Oxford University Research Archive,bl.oxdb,bl,blco,10000,49%,16%,12%,0%,20%,20%,0%,,,,
Oxford Brookes University,bl.brookes,bl,blco,2356,45%,22%,8%,1%,20%,19%,1%,,,,
National Trust Research Repository,ytfd.nationaltrust,ytfd,blco,56,54%,12%,6%,10%,20%,20%,0%,,,,
National Library of Scotland,bl.nls,bl,blco,70,42%,23%,8%,2%,20%,20%,0%,,,,
Goldsmiths' College,bl.gold,bl,blco,2666,47%,14%,10%,6%,20%,20%,0%,,,,
The Open University,bl.open,bl,blco,10000,50%,10%,11%,7%,20%,17%,2%,,,,
Historic Royal Palaces,ytfd.qshyae,ytfd,blco,2,47%,22%,6%,0%,20%,20%,0%,,,,
Strathprints,vewy.strathprints,vewy,blco,1671,48%,11%,11%,9%,20%,19%,0%,,,,
London School of Hygiene & Tropical Medicine,bl.lshtm,bl,blco,3564,46%,15%,9%,6%,20%,19%,0%,,,,
