Repository Name,Repository_ID,Provider,Consortium,Number of Records,Text,Identifiers,Connections,Contacts,Total,2025-05,Change,,,,
Leaf Journal,ygyi.igexwb,ygyi,blco,44,42%,14%,8%,2%,17%,18%,-1%,,,,
European Centre for Medium-Range Weather Forecasts,bl.ecmwf,bl,blco,1973,42%,15%,6%,0%,17%,17%,0%,,,,
Bournemouth University,bl.bmouth,bl,blco,204,40%,17%,6%,0%,17%,16%,0%,,,,
UK Data Archive,bl.ukda,bl,blco,10000,44%,9%,10%,0%,16%,17%,-1%,,,,
UK LLC,vhfs.ukllc,vhfs,blco,669,59%,0%,6%,0%,16%,,,,,,
Digital Repository of Ireland,bl.dri,bl,blco,10000,48%,4%,11%,0%,16%,16%,0%,,,,
British Library Labs,bl.labs,bl,blco,106,47%,7%,7%,2%,16%,16%,0%,,,,
ROR Registry and Hub,hxhf.leuvzx,hxhf,blco,49,40%,15%,6%,0%,16%,,,,,,
SOAS University of London,bl.soas,bl,blco,3436,46%,7%,7%,2%,16%,15%,0%,,,,
Birkbeck Research Data,bl.birkbeck,bl,blco,1109,47%,7%,6%,1%,15%,15%,0%,,,,
University of Liverpool,bl.lpool,bl,blco,10000,44%,7%,6%,2%,15%,15%,0%,,,,
Aston Publications Explorer,fdnh.publications,fdnh,blco,5187,45%,6%,6%,1%,15%,15%,0%,,,,
CentAUR,pclw.bbbbli,pclw,blco,1834,46%,6%,6%,0%,15%,15%,0%,,,,
Jisc Equipment Data Service,upnf.eq,upnf,blco,719,40%,6%,11%,0%,15%,,,,,,
Oxford Comparative Criticism and Translation,ylyl.occt,ylyl,blco,2,40%,11%,6%,0%,15%,,,,,,
STAX,vewy.stax,vewy,blco,6724,40%,11%,6%,0%,15%,15%,0%,,,,
Endangered Archives Project,bl.eap,bl,blco,523,40%,8%,6%,0%,14%,14%,0%,,,,
PKRxiv,pxwo.pkrxiv,pxwo,blco,20,47%,0%,6%,0%,13%,13%,0%,,,,
Concept Library,xwpv.zalbtc,xwpv,blco,1539,40%,6%,6%,0%,13%,,,,,,
University of Manchester,bl.mchester,bl,blco,226,39%,6%,6%,0%,13%,13%,0%,,,,
"UK Data Service, Jisc",bl.esds-i,bl,blco,722,41%,3%,6%,0%,13%,13%,0%,,,,
Sir Alister Hardy Foundation for Ocean Science,bl.sahfos,bl,blco,675,39%,5%,6%,0%,13%,13%,0%,,,,
Public Health England,bl.phe,bl,blco,16,40%,4%,6%,0%,13%,13%,0%,,,,
"Natural History Museum, London",bl.nhm,bl,blco,10000,40%,1%,6%,0%,12%,12%,0%,,,,
MyImpact,arkt.hhmnrg,arkt,blco,2237,40%,0%,6%,0%,11%,11%,0%,,,,
ONS-Metadata catalogue,ilpl.lxotmc,ilpl,blco,170,40%,0%,6%,0%,11%,11%,0%,,,,
Science and Technology Facilities Council,bl.stfc,bl,blco,10000,35%,2%,6%,0%,11%,10%,0%,,,,
Web Archive Programme at BL,bl.wap,bl,blco,6,16%,2%,6%,0%,6%,6%,0%,,,,
UC Davis,cdl.ucd,cdl,cdlco,259,60%,10%,12%,0%,21%,21%,0%,,,,
UC Santa Barbara,cdl.ucsb,cdl,cdlco,10000,50%,10%,11%,0%,19%,18%,0%,,,,
UC Riverside,cdl.ucr,cdl,cdlco,132,53%,1%,16%,0%,18%,18%,0%,,,,
UC San Diego,cdl.ucsd,cdl,cdlco,10000,43%,10%,9%,2%,17%,19%,-2%,,,,
UC Los Angeles,cdl.ucla,cdl,cdlco,10000,45%,6%,11%,0%,16%,16%,0%,,,,
UC Santa Cruz,cdl.ucsc,cdl,cdlco,148,43%,12%,6%,0%,16%,16%,0%,,,,
UC Merced,cdl.ucm,cdl,cdlco,2,40%,8%,6%,0%,14%,14%,0%,,,,
California Digital Library,cdl.cdl,cdl,cdlco,10000,39%,9%,6%,0%,14%,14%,0%,,,,
UC San Francisco,cdl.ucsf,cdl,cdlco,38,40%,6%,6%,0%,13%,13%,0%,,,,
UC Berkeley,cdl.ucb,cdl,cdlco,10000,40%,5%,6%,0%,13%,13%,0%,,,,
UC Irvine,cdl.uci,cdl,cdlco,1548,40%,3%,6%,6.46E-05,12%,12%,0%,,,,
Archaeological Map of the Czech Republic,arch.avanjj,arch,cevl,10000,80%,73%,28%,10%,51%,49%,2%,,,,
Archaeological Map of the Czech Republic - IGSN Catalog,arch.igsn,arch,cevl,10000,82%,67%,28%,10%,50%,51%,-1%,,,,
Molecular Biophysics Database,biot.mbdb,biot,cevl,6,52%,29%,11%,10%,26%,25%,1%,,,,
KIT,czu.nbjjgg,czu,cevl,1,47%,33%,6%,0%,23%,25%,-2%,,,,
CERIT-SC,gcnc.nawmpy,gcnc,cevl,3,67%,52%,28%,20%,43%,47%,-4%,,,,
CSIRT-MU,gcnc.eiflyh,gcnc,cevl,1,73%,50%,28%,10%,43%,41%,2%,,,,
Projectiles,gcnc.ghgvvx,gcnc,cevl,2,80%,53%,17%,10%,42%,43%,-1%,,,,
"Digital Culture, Faculty of Arts, Masaryk University",gcnc.yqqcuw,gcnc,cevl,1,73%,50%,11%,10%,38%,36%,2%,,,,
World Spider Trait Database,gcnc.fkwtdu,gcnc,cevl,95,54%,22%,28%,10%,30%,28%,2%,,,,
"Institute of Physics of the Earth, Faculty of Science, Masaryk University",gcnc.ciivsh,gcnc,cevl,6,68%,38%,6%,0%,30%,30%,0%,,,,
European Vegetation Archive,gcnc.tlueni,gcnc,cevl,100,53%,33%,11%,0%,26%,25%,2%,,,,
GGP – Contemporary Czech Family,gcnc.cblitf,gcnc,cevl,2,53%,36%,6%,0%,25%,25%,0%,,,,
Multimodal and Functional Imaging Laboratory,gcnc.cclsvn,gcnc,cevl,2,47%,33%,6%,0%,23%,23%,0%,,,,
CEITEC MU Biological Data Management and Analysis Core Facility,gcnc.wibtmh,gcnc,cevl,1,40%,33%,6%,0%,21%,21%,0%,,,,
CPM-pilot,gcnc.lfzaox,gcnc,cevl,26,40%,6%,6%,0%,13%,13%,0%,,,,
ASEP,igeg.asep,igeg,cevl,279,75%,53%,15%,10%,40%,38%,2%,,,,
Vědecké výstupy,ioo.tsfpp,ioo,cevl,1,60%,39%,17%,30%,36%,36%,0%,,,,
CESNET Organizační DOI,kdby.stkmdn,kdby,cevl,2,50%,31%,6%,0%,23%,23%,0%,,,,
Narodni Repozitar,kdby.damqif,kdby,cevl,124,33%,0%,6%,0%,10%,10%,0%,,,,
ESF MU,muni.pazodj,muni,cevl,11,73%,64%,17%,1%,42%,42%,1%,,,,
Studia Musei Pragensis,muzprahy.mafnao,muzprahy,cevl,15,61%,48%,11%,0%,33%,,,,,,
Národní archiv.PH,nacr.ph,nacr,cevl,21,65%,54%,22%,10%,40%,37%,3%,,,,
NPMK,npmk.hbnfeh,npmk,cevl,10,53%,28%,17%,10%,28%,,,,,,
Institutional Repository of NTK,ntk.idr,ntk,cevl,240,41%,28%,8%,5%,22%,22%,0%,,,,
National Repository for Documents - Community for EOSC CZ,ntkp.nrdocs-eosccz,ntkp,cevl,3,56%,44%,11%,0%,30%,32%,-2%,,,,
Palacký University Open Portal,upol.tpupcx,upol,cevl,5,71%,66%,18%,10%,44%,,,,,,
VSUO VPO,vsuo.gvsakw,vsuo,cevl,56,61%,38%,12%,16%,32%,32%,0%,,,,
VSUO met,vsuo.itgumz,vsuo,cevl,14,60%,42%,12%,11%,32%,32%,0%,,,,
Research Data Repository,uandes.rdr,uandes,cgqg,5,61%,58%,22%,10%,40%,,,,,,
Documents,ghva.hhjzpy,ghva,cgqg,2,60%,56%,17%,10%,38%,38%,0%,,,,
Radar electoral. La campaña presidencial en redes sociales,uandes.rael,uandes,cgqg,5,63%,39%,22%,10%,35%,,,,,,
Revista de Salud Comunitaria,uandes.etjeio,uandes,cgqg,18,60%,52%,17%,0%,35%,,,,,,
Platforms,ghva.kaxnum,ghva,cgqg,3,62%,33%,11%,3%,29%,29%,0%,,,,
Clariah-EUS,hitz.ozbohl,hitz,clarinco,5,64%,20%,21%,10%,30%,30%,0%,,,,
CLARIN-ERIC,clarin.clarin,clarin,clarinco,33,39%,12%,6%,0%,15%,14%,1%,,,,
IDS Text- und Sprachdaten-Repositorium,ids.hkhuqq,ids,clarinco,637,46%,6%,6%,0%,15%,15%,0%,,,,
Repositório de Dados de Pesquisa da UFG,ufgbr.dados,ufgbr,cnpq,11,75%,24%,37%,10%,38%,21%,17%,,,,
Repositório Aleia,ibict.rep-i,ibict,cnpq,151,59%,20%,29%,7%,30%,30%,0%,,,,
Repositório de Dados de Pesquisa UFABC,ufabc.rxfbyl,ufabc,cnpq,3,53%,11%,33%,10%,28%,,,,,,
Datapb-ufpb,ufpb.pbwdfw,ufpb,cnpq,13,53%,15%,11%,0%,21%,,,,,,
Redape - Repositório de Dados de Pesquisa da Embrapa,embrapa.frdsij,embrapa,cnpq,446,53%,16%,8%,0%,20%,20%,0%,,,,
Datarepository,lbde.xzldyn,lbde,cnpq,7,53%,13%,11%,0%,20%,20%,0%,,,,
Lattes Data,cnpqorg.rep1,cnpqorg,cnpq,19,53%,9%,11%,0%,19%,19%,0%,,,,
SoilData,mpbiomas.soildata,mpbiomas,cnpq,299,53%,6%,11%,0%,18%,18%,0%,,,,
Repositório de Dados Centro de Ciência de Dados Insper,insper.mafpvc,insper,cnpq,229,51%,2%,11%,0%,16%,17%,0%,,,,
Repositório 2 da Fiocruz,fiocruz.hzbrhl,fiocruz,cnpq,241,50%,2%,8%,0%,15%,16%,-1%,,,,
MapBiomas Network Data Repository,mpbiomas.mapbiomas,mpbiomas,cnpq,191,48%,1%,11%,0%,15%,16%,0%,,,,
Repositório 1 da Fiocruz,fiocruz.gvqdwx,fiocruz,cnpq,10000,48%,1%,11%,0%,15%,16%,-1%,,,,
ACTRIS-ARES Data Portal,cnrimaa.zpvlsk,cnrimaa,cruico,386,86%,68%,16%,10%,48%,46%,2%,,,,
Istituto Nazionale di Geofisica e Vulcanologia (INGV),crui.ingv,crui,cruico,1384,63%,43%,30%,30%,42%,43%,-1%,,,,
GNSS TCS,kjoy.mpxzii,kjoy,cruico,43,67%,50%,17%,10%,38%,36%,2%,,,,
Risorse multimediali scientifiche,uyey.doiesterni,uyey,cruico,5,71%,53%,11%,8%,38%,37%,0%,,,,
EPOS ERIC,kjoy.ghswom,kjoy,cruico,1,73%,39%,17%,10%,36%,36%,0%,,,,
Università degli Studi di Milano-Bicocca,crui.unimib,crui,cruico,50,72%,27%,30%,0%,34%,34%,0%,,,,
Repository of Memofonte,crui.memofonte,crui,cruico,379,63%,48%,11%,10%,34%,35%,0%,,,,
UNIVE,frnw.fuefjy,frnw,cruico,21,64%,19%,30%,10%,32%,18%,14%,,,,
Scuola Normale Superiore di Pisa,crui.sns,crui,cruico,616,64%,42%,8%,0%,30%,28%,3%,,,,
National Institute of Oceanography and Applied Geophysics,crui.ogsts,crui,cruico,791,72%,22%,18%,4%,30%,29%,1%,,,,
PNRR-GEO,wlym.pnrr-geo,wlym,cruico,1,47%,56%,6%,0%,30%,,,,,,
Università degli Studi di Roma “Unitelma Sapienza”,crui.unitelma,crui,cruico,863,60%,11%,17%,10%,25%,25%,0%,,,,
Conferenza dei Rettori delle Università Italiane,crui.crui,crui,cruico,2,53%,14%,22%,0%,24%,24%,0%,,,,
Università degli Studi di Verona,crui.univr,crui,cruico,2650,50%,20%,13%,8%,23%,23%,0%,,,,
Università degli Studi di Messina,crui.unime,crui,cruico,1988,49%,21%,12%,7%,23%,23%,0%,,,,
Università della Calabria,crui.unical,crui,cruico,944,55%,26%,6%,0%,23%,22%,1%,,,,
Libera Università di Bolzano,crui.unibz,crui,cruico,714,42%,14%,22%,10%,23%,23%,0%,,,,
Università degli Studi di Bari,crui.uniba,crui,cruico,1734,49%,21%,11%,5%,23%,23%,0%,,,,
Fondazione GEM,crui.gem,crui,cruico,31,50%,13%,16%,7%,22%,22%,0%,,,,
Università degli Studi di Pavia,crui.unipv,crui,cruico,1426,48%,22%,12%,2%,22%,22%,0%,,,,
Università degli Studi di Salerno,crui.unisa,crui,cruico,5940,50%,16%,16%,8.42E-05,22%,22%,0%,,,,
Università degli Studi di Cagliari,crui.unica,crui,cruico,3470,48%,21%,11%,5%,22%,22%,0%,,,,
Società Italiana di e-Learning,crui.sie-l,crui,cruico,858,47%,22%,11%,3%,22%,22%,0%,,,,
Università degli studi di Roma La Sapienza,crui.uniroma1,crui,cruico,7486,51%,17%,11%,6%,22%,22%,0%,,,,
Lucca IMT,crui.imtlucca,crui,cruico,438,53%,20%,9%,0%,22%,21%,0%,,,,
Università degli Studi di Macerata,crui.unimc,crui,cruico,1681,49%,20%,10%,4%,22%,21%,0%,,,,
ETA Florence,crui.eta,crui,cruico,5082,53%,12%,17%,0%,22%,22%,0%,,,,
Università degli Studi di Trento,crui.unitn,crui,cruico,4663,47%,21%,11%,3%,22%,21%,0%,,,,
Università degli Studi di Firenze,crui.unifi,crui,cruico,10000,46%,22%,12%,0%,21%,21%,1%,,,,
Università degli Studi di Urbino,crui.uniurb,crui,cruico,3459,47%,18%,11%,6%,21%,21%,0%,,,,
Università degli Studi di Ferrara,crui.unife,crui,cruico,1988,46%,22%,11%,2%,21%,21%,0%,,,,
Università degli Studi di Roma Tor Vergata,wapu.njjrqc,wapu,cruico,2241,48%,16%,16%,1%,21%,21%,0%,,,,
1000 Functional Connectomes Project,crui.unipd,crui,cruico,1056,53%,12%,10%,8%,21%,21%,0%,,,,
Università Carlo Cattaneo - LIUC,crui.liuc,crui,cruico,157,50%,19%,9%,0%,21%,20%,1%,,,,
Politecnico di Bari,gttv.wyxfft,gttv,cruico,442,51%,16%,11%,0%,21%,21%,0%,,,,
Università degli Studi di Torino,crui.unito,crui,cruico,9438,47%,19%,9%,3%,20%,19%,1%,,,,
Università degli Studi di Napoli Federico II,crui.unina,crui,cruico,10000,48%,17%,11%,2%,20%,19%,1%,,,,
Università degli Studi di Milano,crui.unimi,crui,cruico,10000,48%,19%,8%,0%,20%,20%,0%,,,,
Libera Università Internazionale degli Studi Sociali Guido Carli di Roma,crui.luiss,crui,cruico,150,49%,17%,9%,0%,20%,20%,0%,,,,
Pisa Sant'Anna,sannapi.gdiima,sannapi,cruico,71,47%,22%,6%,0%,20%,20%,0%,,,,
Università degli Studi di Genova,crui.unige,crui,cruico,4600,47%,18%,8%,1%,19%,19%,0%,,,,
Università degli Studi di Siena,crui.unisi,crui,cruico,773,48%,15%,10%,0%,19%,19%,0%,,,,
Istituto Nazionale di Fisica Nucleare. Centro Nazionale Analisi Fotogrammi,crui.infncnaf,crui,cruico,10000,50%,10%,10%,6%,19%,15%,4%,,,,
Università Ca’ Foscari Venezia,crui.unive,crui,cruico,7359,51%,11%,11%,0%,19%,19%,0%,,,,
Università del Piemonte orientale “Amedeo Avogadro”,crui.uniupo,crui,cruico,590,47%,17%,8%,0%,19%,19%,0%,,,,
Societ� Italiana di Psicologia della Religione,crui.sipr,crui,cruico,13,45%,20%,7%,0%,19%,19%,0%,,,,
Università degli Studi di Bologna,crui.unibo,crui,cruico,10000,50%,11%,11%,0%,19%,18%,0%,,,,
Università degli Studi di Foggia,crui.unifg,crui,cruico,403,46%,16%,8%,0%,19%,18%,1%,,,,
Università degli Studi di Catania,crui.unict,crui,cruico,502,45%,10%,11%,7%,18%,18%,0%,,,,
Università degli Studi di Trieste,crui.units,crui,cruico,2823,48%,13%,8%,1%,18%,18%,0%,,,,
Università degli Studi di Sassari,crui.uniss,crui,cruico,349,53%,11%,6%,0%,18%,18%,0%,,,,
DspaceGlam installation,jwoq.kzbucp,jwoq,cruico,7,44%,11%,13%,0%,18%,17%,1%,,,,
AMSDottorato. Institutional Doctoral Thesis Repository,uyey.amsdottorato,uyey,cruico,2356,47%,17%,6%,0%,18%,18%,0%,,,,
Università IUAV,crui.iuav,crui,cruico,2054,52%,12%,6%,0%,18%,18%,-1%,,,,
Università di Modena e Reggio Emilia,crui.unimore,crui,cruico,1168,43%,17%,8%,8.56E-05,18%,18%,0%,,,,
Università degli Studi di Camerino,crui.unicam,crui,cruico,530,42%,13%,11%,0%,18%,17%,1%,,,,
Università degli Studi di Bergamo,crui.unibg,crui,cruico,1863,45%,14%,7%,0%,17%,17%,0%,,,,
Università degli Studi di Pisa,crui.unipi,crui,cruico,936,44%,14%,7%,0%,17%,17%,0%,,,,
Università degli Studi di Roma Tre,crui.uniroma3,crui,cruico,3623,46%,13%,6%,0%,17%,16%,0%,,,,
Fondazione 1563,crui.fonda1563,crui,cruico,10000,40%,11%,11%,0%,16%,16%,0%,,,,
Politecnico di Torino,crui.polito,crui,cruico,928,39%,15%,6%,0%,16%,16%,0%,,,,
University of L'Aquila,crui.univaq,crui,cruico,356,40%,3%,6%,0%,12%,12%,0%,,,,
Università del Salento,crui.unile,crui,cruico,10000,34%,7%,6%,0%,12%,8%,4%,,,,
Edizione nazionale delle opere di Aldo Moro,uyey.aldomoro,uyey,cruico,2042,40%,0%,6%,0%,12%,12%,0%,,,,
Istituto Nazionale di Astrofisica,crui.inaf,crui,cruico,10000,40%,0%,6%,0%,12%,12%,0%,,,,
Digital Handbook of the History of Experience,buzq.hex,buzq,cscco,21,58%,45%,6%,0%,29%,28%,1%,,,,
METIS,bkmx.azjwzc,bkmx,cscco,239,72%,16%,18%,4%,28%,29%,0%,,,,
Ministry of Culture and Education,csc.nrd,csc,cscco,1275,64%,18%,16%,9%,27%,26%,1%,,,,
CSC SD,yykf.sds-x,yykf,cscco,13,63%,26%,9%,1%,26%,26%,0%,,,,
The Finnish Environment Institute - Publication Archive,syke.dufdhc,syke,cscco,12,50%,29%,11%,2%,24%,25%,-1%,,,,
Aalto University,csc.aalto,csc,cscco,441,44%,14%,6%,1%,17%,17%,0%,,,,
Boreal Environment Research Journal Archive,syke.ber,syke,cscco,1062,47%,11%,6%,0%,16%,16%,0%,,,,
TUNI Digital Preservation Services,buzq.pas,buzq,cscco,5377,47%,6%,6%,0%,15%,15%,0%,,,,
Tietoarkisto,buzq.zbmyto,buzq,cscco,2213,40%,0%,6%,0%,11%,11%,0%,,,,
Syke Data Repository,syke.datarepo,syke,cscco,9,40%,0%,6%,0%,11%,11%,0%,,,,
WVSA - World Values Survey Association,gesis.wvsa,gesis,daraco,26,79%,46%,22%,21%,43%,43%,0%,,,,
Forschungsdatenzentrum am IQB,gesis.iqb,gesis,daraco,183,72%,23%,27%,34%,38%,38%,0%,,,,
RWI – Leibniz-Institut für Wirtschaftsforschung e.V.,zbw.rwi,zbw,daraco,501,68%,37%,32%,5%,38%,31%,7%,,,,
Research Data Centre of the Federal Institute for Vocational Education and Training (BIBB-FDZ),gesis.bibb-fdz,gesis,daraco,328,73%,31%,34%,0%,37%,37%,0%,,,,
DGAP - Deutsche Gesellschaft für Auswärtige Politik,dgap.oqjxml,dgap,daraco,131,57%,42%,21%,7%,34%,34%,0%,,,,
GESIS Pretest Database,vzek.pretest,vzek,daraco,123,53%,44%,18%,10%,33%,23%,10%,,,,
Research Data Center for Higher Education Research and Science Studies (FDZ-DZHW),dzhw.fdz-dzhw,dzhw,daraco,152,76%,22%,19%,9%,32%,28%,4%,,,,
Deutsche Bundesbank – Research Centre,buba.dbrc,buba,daraco,1,53%,44%,17%,0%,31%,,,,,,
Forschungsdatenzentrum Deutsches Zentrum für Altersfragen (FDZ-DZA),gesis.deas,gesis,daraco,107,69%,28%,16%,6%,31%,31%,0%,,,,
"methods, data, analyses (mda) - GESIS",vzek.mda,vzek,daraco,244,53%,33%,22%,10%,31%,29%,2%,,,,
ZBW Journal Data Archive,zbw.zbw-jda,zbw,daraco,1918,56%,35%,17%,10%,31%,28%,3%,,,,
AUSSDA - The Austrian Social Science Data Archive,gesis.aussda,gesis,daraco,6698,64%,16%,29%,10%,30%,17%,13%,,,,
International Association for the Evaluation of Educational Achievement,qtiv.iea,qtiv,daraco,49,66%,32%,16%,0%,30%,30%,0%,,,,
Research Data Center of the Socio-Economic Panel Study at DIW Berlin (FDZ SOEP),gesis.soep,gesis,daraco,136,69%,27%,18%,0%,30%,30%,1%,,,,
Research Data Centre of the Federal Office for Migration and Refugees,bamf.rdcbamf,bamf,daraco,22,61%,38%,14%,0%,30%,28%,3%,,,,
DATICE,gesis.ssri,gesis,daraco,41,63%,25%,21%,6%,30%,30%,0%,,,,
BERD@NFDI Data Portal,zbwg.berd,zbwg,daraco,9,59%,31%,19%,3%,30%,,,,,,
Wissenschaftszentrum Berlin für Sozialforschung,gesis.wzb,gesis,daraco,39,83%,21%,11%,0%,30%,30%,0%,,,,
Leibniz-Institut für Ost- und Südosteuropaforschung (IOS),zbw.ios,zbw,daraco,334,66%,30%,12%,8%,30%,30%,0%,,,,
Leibniz-Institut für Wirtschaftsforschung Halle (IWH),zbw.iwh,zbw,daraco,73,51%,50%,8%,0%,30%,29%,0%,,,,
Research Data Centre of the Research Institute Social Cohesion (RDC-RISC),xueu.manypc,xueu,daraco,3,80%,19%,15%,0%,30%,28%,2%,,,,
GESIS Guides to Digital Behavioral Data,vzek.dbd,vzek,daraco,24,53%,36%,14%,10%,29%,28%,1%,,,,
Research Centre of the Federal Office for Migration and Refugees,bamf.bamf,bamf,daraco,94,50%,31%,17%,10%,28%,21%,7%,,,,
Research Data Centre for Education,gesis.dipf,gesis,daraco,23,58%,30%,12%,10%,28%,28%,0%,,,,
ZEW - Leibniz Zentrum für Europäische Wirtschaftsforschung,zbw.zew,zbw,daraco,13,67%,19%,20%,0%,28%,28%,0%,,,,
Centre for Cancer Registry Data (ZfKD) at the Robert Koch Institute,epua.zfkd,epua,daraco,20,67%,21%,15%,5%,28%,24%,4%,,,,
LIfBi Leibniz Institute for Educational Trajectories,gesis.neps,gesis,daraco,394,65%,31%,9%,1%,28%,25%,3%,,,,
Institut für Bildungsmonitoring und Qualitätsentwicklung,zbw.ifbq,zbw,daraco,81,78%,12%,16%,0%,27%,28%,0%,,,,
Historical Social Research (HSR),vzek.hsr,vzek,daraco,1991,59%,25%,13%,10%,27%,27%,1%,,,,
easy social sciences,vzek.easy,vzek,daraco,244,59%,23%,11%,10%,26%,26%,0%,,,,
GESIS Online,vzek.gesisonline,vzek,daraco,11,41%,39%,16%,0%,26%,25%,2%,,,,
Psychology Archives,gesis.psycharc,gesis,daraco,10000,59%,16%,17%,10%,26%,26%,0%,,,,
Forschungsnetzwerk Alterssicherung (FNA),fdzrv.fna,fdzrv,daraco,5,60%,30%,7%,0%,26%,,,,,,
GESIS Data Archive,gesis.gesis,gesis,daraco,9607,72%,11%,16%,0%,26%,26%,-1%,,,,
Dezernat Reha-Wissenschaften,fdzrv.reha,fdzrv,daraco,5,47%,24%,11%,20%,25%,25%,0%,,,,
GESIS Blog,vzek.gesisblog,vzek,daraco,113,59%,30%,6%,0%,25%,25%,0%,,,,
Institute for Employment Research (IAB),gesis.iab,gesis,daraco,991,58%,18%,12%,10%,25%,24%,1%,,,,
GESIS- Survey Guidelines,vzek.sdm,vzek,daraco,91,48%,36%,7%,2%,25%,23%,1%,,,,
The Research Data Centre of the German Pension Insurance (FDZ-RV),fdzrv.fdzrv,fdzrv,daraco,125,51%,35%,6%,0%,24%,19%,6%,,,,
Human Science Research Council SA,gesis.hsrc,gesis,daraco,6022,65%,6%,22%,0%,24%,25%,-1%,,,,
LMU-ifo Economics & Business Data Center,zbw.ifo,zbw,daraco,251,67%,9%,16%,0%,24%,23%,0%,,,,
Slovak Archive for Social Data,vzek.sasd,vzek,daraco,59,68%,9%,15%,0%,24%,23%,1%,,,,
FDZ eLabour,zyhg.elabour,zyhg,daraco,14,71%,11%,11%,0%,24%,24%,0%,,,,
German Institute of Development and Sustainability (IDOS),gesis.die-gdi,gesis,daraco,565,56%,19%,9%,7%,23%,27%,-4%,,,,
Research Data Centre for Education at the DIPF,dipf.rdcedu,dipf,daraco,1123,61%,16%,9%,1%,23%,23%,0%,,,,
German Institute for International and Security Affairs,gesis.swp,gesis,daraco,1357,40%,33%,9%,2%,23%,20%,2%,,,,
Social Science Open Access Repository,vzek.ssoar,vzek,daraco,1856,59%,12%,11%,6%,22%,22%,0%,,,,
Czech Social Science Data Archive,gesis.csda,gesis,daraco,7582,55%,13%,13%,1%,21%,20%,1%,,,,
BANCO DE PORTUGAL,gesis.banco-pt,gesis,daraco,36,67%,6%,11%,0%,21%,21%,0%,,,,
German Centre for Higher Education Research and Science Studies,gesis.dzhw,gesis,daraco,49,40%,23%,11%,8%,21%,15%,6%,,,,
Office of the Commission for Research Information in Germany (KFiD),dzhw.kfid,dzhw,daraco,11,43%,19%,11%,10%,21%,20%,1%,,,,
Open Access Repository for Measurement Instruments (ZIS),vzek.zis,vzek,daraco,372,59%,12%,9%,0%,21%,21%,0%,,,,
GESIS.ZPID,gesis.zpid,gesis,daraco,86,69%,6%,6%,0%,21%,21%,0%,,,,
Croatian Social Science Data Archive (CROSSDA),gesis.ffzg,gesis,daraco,217,53%,15%,11%,0%,21%,21%,0%,,,,
Hochschule für Wirtschaft und Recht Berlin,zbw.hwr,zbw,daraco,124,48%,12%,11%,9%,20%,21%,-1%,,,,
South African Medical Research Council,gesis.samrc,gesis,daraco,41,45%,11%,15%,8%,20%,20%,0%,,,,
Research Data Centres of the Statistical Offices of the Federation and the Federal States,gesis.fdz-sabl,gesis,daraco,2550,60%,6%,11%,0%,20%,20%,0%,,,,
UBMA,gesis.ubma,gesis,daraco,331,49%,11%,14%,3%,20%,19%,0%,,,,
The German Youth Institute,gesis.dji,gesis,daraco,63,53%,10%,12%,0%,20%,19%,0%,,,,
Research Data Centre of the German Federal Employment Agency at the Institute for Employment Research,iabg.rdciab,iabg,daraco,363,54%,12%,7%,3%,19%,19%,1%,,,,
Deutsche Bundesbank Research Data and Service Centre (RDSC),gesis.db-bank,gesis,daraco,258,54%,10%,9%,0%,19%,19%,0%,,,,
The Banco de España data Laboratory (BELab),belab.belab,belab,daraco,67,59%,6%,7%,0%,18%,19%,0%,,,,
Research Data Center for Business and Organizational Data (RDC-BO),dxwl.rdiw,dxwl,daraco,41,56%,6%,9%,2%,18%,19%,0%,,,,
Journal of Comments and Replications in Economics (JCRE),zbw.iree,zbw,daraco,50,49%,7%,10%,7%,18%,18%,0%,,,,
Social Data Network,gesis.sodanet,gesis,daraco,815,51%,7%,11%,0%,18%,18%,0%,,,,
Center for Development Evaluation and Social Science Research (CREDI),credi.credi,credi,daraco,92,52%,6%,11%,0%,18%,18%,0%,,,,
Africa Health Research Institute,gesis.ahri,gesis,daraco,304,47%,16%,6%,0%,18%,16%,2%,,,,
Social Science Data Archives at UL-FDV (ADP),gesis.adp,gesis,daraco,1724,49%,6%,11%,2%,17%,17%,1%,,,,
National Center of Social Research,gesis.ekke,gesis,daraco,209,46%,6%,10%,7%,17%,17%,0%,,,,
Deutsches Institut für Wirtschaftsforschung (DIW) Berlin,zbw.diw,zbw,daraco,1807,49%,11%,6%,0%,17%,17%,0%,,,,
FDZ Wissenschaftsstatistik,rdcwst.fdzwisst,rdcwst,daraco,6,49%,11%,6%,0%,17%,17%,0%,,,,
Rat für Sozial- und WirtschaftsDaten,wzbde.ratswd,wzbde,daraco,98,42%,11%,7%,3%,16%,16%,0%,,,,
GESIS Methods Hub,vzek.mhub,vzek,daraco,82,41%,15%,6%,0%,16%,,,,,,
Federal Centre for Health Education,gesis.bzga,gesis,daraco,859,47%,7%,6%,0%,15%,15%,0%,,,,
SHARE - ERIC,gesis.share,gesis,daraco,147,44%,7%,7%,0%,15%,15%,0%,,,,
GESIS Tombstone Pages,vzek.tomb,vzek,daraco,195,42%,9%,6%,0%,15%,,,,,,
Research Data Centre of the German Centre for Integration and Migration Research (DeZIM),gesis.dezim,gesis,daraco,55,40%,12%,6%,0%,15%,14%,1%,,,,
GESIS Data Archive,vzek.archive,vzek,daraco,71,46%,6%,6%,0%,15%,,,,,,
